timestamp,price,size,aggressor_side
2026-03-02 12:00:39.081903248,265.820000000,1,A
2026-03-02 12:00:39.081921597,265.820000000,13,A
2026-03-02 12:00:39.238204986,265.820000000,27,B
2026-03-02 12:00:39.238235234,265.830000000,20,B
2026-03-02 12:00:39.341621047,265.840000000,2,B
2026-03-02 12:00:39.938587535,265.830000000,10,B
2026-03-02 12:00:40.448255343,265.830000000,20,B
2026-03-02 12:00:42.005405136,265.830000000,10,B
2026-03-02 12:00:42.433124729,265.810000000,101,A
2026-03-02 12:00:42.807841290,265.810000000,20,B
2026-03-02 12:00:42.823998105,265.820000000,20,B
2026-03-02 12:00:42.834478730,265.830000000,100,B
2026-03-02 12:00:43.157220951,265.810000000,25,A
2026-03-02 12:00:44.393947271,265.810000000,25,A
2026-03-02 12:00:44.393947271,265.810000000,35,A
2026-03-02 12:00:44.393968367,265.810000000,1,A
2026-03-02 12:00:47.357896210,265.830000000,1,B
2026-03-02 12:00:47.796516690,265.830000000,35,B
2026-03-02 12:00:47.796516690,265.830000000,2,B
2026-03-02 12:00:47.796516690,265.840000000,13,B
2026-03-02 12:00:48.570743998,265.840000000,2,B
2026-03-02 12:00:48.570743998,265.840000000,1,B
2026-03-02 12:00:48.570743998,265.840000000,22,B
2026-03-02 12:00:48.689413510,265.830000000,50,A
2026-03-02 12:00:48.689434001,265.830000000,1,A
2026-03-02 12:00:48.712532930,265.830000000,49,A
2026-03-02 12:00:48.712532930,265.830000000,4,A
2026-03-02 12:00:50.309144267,265.825000000,100,A
2026-03-02 12:00:51.121386288,265.840000000,1,B
2026-03-02 12:00:51.121407818,265.840000000,1,B
2026-03-02 12:00:51.121750499,265.840000000,100,A
2026-03-02 12:00:51.121829732,265.840000000,3,B
2026-03-02 12:00:51.121849729,265.840000000,97,B
2026-03-02 12:00:51.121849729,265.840000000,47,B
2026-03-02 12:00:51.121870279,265.840000000,1,B
2026-03-02 12:00:51.389849569,265.840000000,25,B
2026-03-02 12:00:51.391215097,265.850000000,99,B
2026-03-02 12:00:51.565554230,265.840000000,20,A
2026-03-02 12:00:51.565626069,265.830000000,100,A
2026-03-02 12:00:51.565626069,265.830000000,21,A
2026-03-02 12:00:51.565626069,265.830000000,3,A
2026-03-02 12:00:51.565626069,265.830000000,97,A
2026-03-02 12:00:51.565626069,265.830000000,109,A
2026-03-02 12:00:51.565653295,265.830000000,1,A
2026-03-02 12:00:51.565668296,265.830000000,99,A
2026-03-02 12:00:51.574651938,265.820000000,12,A
2026-03-02 12:00:51.590750080,265.820000000,9,A
2026-03-02 12:00:51.590750080,265.820000000,27,A
2026-03-02 12:00:52.235750468,265.805000000,100,A
2026-03-02 12:00:52.984944599,265.775000000,50,A
2026-03-02 12:00:52.987418685,265.780000000,10,B
2026-03-02 12:00:52.987418685,265.780000000,25,B
2026-03-02 12:00:52.987418685,265.780000000,1,B
2026-03-02 12:00:53.460406982,265.790000000,22,B
2026-03-02 12:00:54.112945656,265.800000000,3,B
2026-03-02 12:00:54.849574599,265.800000000,50,B
2026-03-02 12:00:56.911064749,265.800000000,10,B
2026-03-02 12:00:56.911064749,265.800000000,25,B
2026-03-02 12:00:56.911064749,265.800000000,45,B
2026-03-02 12:00:57.844506592,265.790000000,50,A
2026-03-02 12:00:57.844527160,265.790000000,1,A
2026-03-02 12:00:58.412108125,265.800000000,100,A
2026-03-02 12:00:58.859067135,265.810000000,10,B
2026-03-02 12:00:58.859067135,265.810000000,25,B
2026-03-02 12:01:00.029885145,265.810000000,3,B
2026-03-02 12:01:00.029885145,265.810000000,16,B
2026-03-02 12:01:00.029905460,265.810000000,44,B
2026-03-02 12:01:00.029926722,265.810000000,1,B
2026-03-02 12:01:00.164283521,265.810000000,1,B
2026-03-02 12:01:00.191812354,265.820000000,26,B
2026-03-02 12:01:00.192081267,265.820000000,74,B
2026-03-02 12:01:00.344853974,265.815000000,100,A
2026-03-02 12:01:00.453432189,265.815000000,40,A
2026-03-02 12:01:00.453432189,265.830000000,5,B
2026-03-02 12:01:00.453453432,265.830000000,15,B
2026-03-02 12:01:00.453479633,265.830000000,50,A
2026-03-02 12:01:02.405390539,265.840000000,1,A
2026-03-02 12:01:02.460867801,265.835000000,9,A
2026-03-02 12:01:02.579476084,265.840000000,100,B
2026-03-02 12:01:02.579476084,265.840000000,77,B
2026-03-02 12:01:02.841154922,265.830000000,100,A
2026-03-02 12:01:02.841154922,265.830000000,100,A
2026-03-02 12:01:02.841163249,265.830000000,200,A
2026-03-02 12:01:02.841165781,265.830000000,100,A
2026-03-02 12:01:02.841287492,265.820000000,20,A
2026-03-02 12:01:02.841287492,265.820000000,107,A
2026-03-02 12:01:02.841293132,265.820000000,100,A
2026-03-02 12:01:02.841293132,265.820000000,27,A
2026-03-02 12:01:02.932521783,265.820000000,9,B
2026-03-02 12:01:04.505800632,265.820000000,50,B
2026-03-02 12:01:05.618086991,265.820000000,28,B
2026-03-02 12:01:05.642765928,265.810000000,100,A
2026-03-02 12:01:05.642765928,265.810000000,107,A
2026-03-02 12:01:05.642771722,265.810000000,100,A
2026-03-02 12:01:05.940920075,265.800000000,2,A
2026-03-02 12:01:06.813897449,265.790000000,26,A
2026-03-02 12:01:06.813917326,265.790000000,1,A
2026-03-02 12:01:06.813917724,265.790000000,67,A
2026-03-02 12:01:06.813924080,265.790000000,6,A
2026-03-02 12:01:06.841106648,265.790000000,10,B
2026-03-02 12:01:06.841106648,265.790000000,25,B
2026-03-02 12:01:06.841106648,265.790000000,1,B
2026-03-02 12:01:08.245371313,265.780000000,1,A
2026-03-02 12:01:08.245371313,265.770000000,36,A
2026-03-02 12:01:08.245371313,265.770000000,9,A
2026-03-02 12:01:10.266717604,265.790000000,25,B
2026-03-02 12:01:10.266717604,265.790000000,5,B
2026-03-02 12:01:10.267511605,265.800000000,1,B
2026-03-02 12:01:10.489558859,265.790000000,10,A
2026-03-02 12:01:10.489558859,265.790000000,20,A
2026-03-02 12:01:10.489558859,265.790000000,20,A
2026-03-02 12:01:10.489580260,265.790000000,1,A
2026-03-02 12:01:10.489685360,265.790000000,1,A
2026-03-02 12:01:10.491516720,265.790000000,127,A
2026-03-02 12:01:10.491516720,265.790000000,5,A
2026-03-02 12:01:10.592759281,265.790000000,75,A
2026-03-02 12:01:11.522884148,265.795000000,25,B
2026-03-02 12:01:11.523644384,265.790000000,20,A
2026-03-02 12:01:12.307223601,265.795000000,26,B
2026-03-02 12:01:13.089476439,265.820000000,100,B
2026-03-02 12:01:13.353887191,265.840000000,6,B
2026-03-02 12:01:13.375831310,265.850000000,1,B
2026-03-02 12:01:13.375837157,265.850000000,1,B
2026-03-02 12:01:13.375837157,265.850000000,100,B
2026-03-02 12:01:13.375837157,265.850000000,120,B
2026-03-02 12:01:13.375837157,265.850000000,1,B
2026-03-02 12:01:13.614186022,265.840000000,106,A
2026-03-02 12:01:14.788701587,265.830000000,100,A
2026-03-02 12:01:14.791443545,265.820000000,100,A
2026-03-02 12:01:15.299264623,265.810000000,1,A
2026-03-02 12:01:15.299264623,265.810000000,1,A
2026-03-02 12:01:16.540440921,265.800000000,75,A
2026-03-02 12:01:16.540461554,265.800000000,25,A
2026-03-02 12:01:16.647124170,265.790000000,20,B
2026-03-02 12:01:16.647124170,265.790000000,20,B
2026-03-02 12:01:17.353962849,265.800000000,20,B
2026-03-02 12:01:17.353962849,265.800000000,20,B
2026-03-02 12:01:17.431012009,265.805000000,65,B
2026-03-02 12:01:17.559834371,265.800000000,100,A
2026-03-02 12:01:17.566821490,265.800000000,44,A
2026-03-02 12:01:17.566821490,265.800000000,6,A
2026-03-02 12:01:17.566842884,265.800000000,1,A
2026-03-02 12:01:17.566860193,265.800000000,10,A
2026-03-02 12:01:18.106900044,265.790000000,25,A
2026-03-02 12:01:18.106900044,265.790000000,10,A
2026-03-02 12:01:18.106900044,265.780000000,25,A
2026-03-02 12:01:18.106900044,265.780000000,100,A
2026-03-02 12:01:18.106900044,265.780000000,1,A
2026-03-02 12:01:18.106900044,265.780000000,9,A
2026-03-02 12:01:18.106925423,265.780000000,91,A
2026-03-02 12:01:18.106925423,265.780000000,100,A
2026-03-02 12:01:18.107167778,265.790000000,25,B
2026-03-02 12:01:18.107167778,265.790000000,20,B
2026-03-02 12:01:19.405491753,265.800000000,20,B
2026-03-02 12:01:19.406359789,265.810000000,20,B
2026-03-02 12:01:19.498520895,265.810000000,1,A
2026-03-02 12:01:20.476645660,265.790000000,1,A
2026-03-02 12:01:20.476672659,265.790000000,35,A
2026-03-02 12:01:20.476695156,265.790000000,64,A
2026-03-02 12:01:20.476695156,265.790000000,100,A
2026-03-02 12:01:20.476695156,265.790000000,100,A
2026-03-02 12:01:20.476695156,265.790000000,104,A
2026-03-02 12:01:21.634998672,265.800000000,20,B
2026-03-02 12:01:23.591219345,265.800000000,20,B
2026-03-02 12:01:23.833711252,265.810000000,20,B
2026-03-02 12:01:23.834182819,265.820000000,200,B
2026-03-02 12:01:23.836223230,265.830000000,12,B
2026-03-02 12:01:24.644586472,265.840000000,10,B
2026-03-02 12:01:24.938344571,265.830000000,100,A
2026-03-02 12:01:28.926529848,265.820000000,1,A
2026-03-02 12:01:29.128046108,265.800000000,44,A
2026-03-02 12:01:29.128046108,265.800000000,25,A
2026-03-02 12:01:29.128046108,265.800000000,120,A
2026-03-02 12:01:29.128046108,265.800000000,25,A
2026-03-02 12:01:29.128046108,265.800000000,100,A
2026-03-02 12:01:29.145676153,265.800000000,50,B
2026-03-02 12:01:29.146799759,265.790000000,120,A
2026-03-02 12:01:29.146799759,265.790000000,80,A
2026-03-02 12:01:29.146815952,265.790000000,20,A
2026-03-02 12:01:29.146815952,265.790000000,30,A
2026-03-02 12:01:29.146820799,265.790000000,1,A
2026-03-02 12:01:29.356010143,265.790000000,50,A
2026-03-02 12:01:29.356030656,265.790000000,49,A
2026-03-02 12:01:29.356030656,265.790000000,100,A
2026-03-02 12:01:29.356030656,265.790000000,81,A
2026-03-02 12:01:29.356041826,265.790000000,100,A
2026-03-02 12:01:29.356041826,265.790000000,49,A
2026-03-02 12:01:29.356238530,265.790000000,70,A
2026-03-02 12:01:29.356238530,265.790000000,30,A
2026-03-02 12:01:29.356259866,265.790000000,70,A
2026-03-02 12:01:29.359488174,265.790000000,20,A
2026-03-02 12:01:30.889575460,265.780000000,50,A
2026-03-02 12:01:30.889595381,265.780000000,19,A
2026-03-02 12:01:34.092269996,265.780000000,1,A
2026-03-02 12:01:34.757440927,265.800000000,20,B
2026-03-02 12:01:34.757440927,265.800000000,1,B
2026-03-02 12:01:34.757440927,265.800000000,25,B
2026-03-02 12:01:34.757440927,265.800000000,400,B
2026-03-02 12:01:34.757466032,265.800000000,1,B
2026-03-02 12:01:34.757472118,265.800000000,7,B
2026-03-02 12:01:35.131698790,265.810000000,100,B
2026-03-02 12:01:35.131698790,265.810000000,93,B
2026-03-02 12:01:35.131704879,265.810000000,7,B
2026-03-02 12:01:35.131704879,265.810000000,93,B
2026-03-02 12:01:35.131705603,265.810000000,7,B
2026-03-02 12:01:36.096616253,265.825000000,25,B
2026-03-02 12:01:36.303552792,265.810000000,14,A
2026-03-02 12:01:36.303573750,265.810000000,12,A
2026-03-02 12:01:36.303575032,265.810000000,78,A
2026-03-02 12:01:36.651444822,265.790000000,43,A
2026-03-02 12:01:36.651468451,265.790000000,1,A
2026-03-02 12:01:36.651471038,265.790000000,56,A
2026-03-02 12:01:38.826800333,265.760000000,1,A
2026-03-02 12:01:38.826800333,265.760000000,1,A
2026-03-02 12:01:38.826800333,265.760000000,1,A
2026-03-02 12:01:38.826800333,265.760000000,1,A
2026-03-02 12:01:38.826862622,265.750000000,100,A
2026-03-02 12:01:38.826862622,265.750000000,5,A
2026-03-02 12:01:38.827387036,265.740000000,20,A
2026-03-02 12:01:38.827387036,265.740000000,20,A
2026-03-02 12:01:38.827387036,265.740000000,10,A
2026-03-02 12:01:38.827716098,265.740000000,1,B
2026-03-02 12:01:39.244645082,265.730000000,4,B
2026-03-02 12:01:39.304338497,265.730000000,25,A
2026-03-02 12:01:39.304338497,265.730000000,10,A
2026-03-02 12:01:39.304338497,265.730000000,35,A
2026-03-02 12:01:39.304338497,265.720000000,10,A
2026-03-02 12:01:39.304338497,265.720000000,20,A
2026-03-02 12:01:39.310289817,265.710000000,100,A
2026-03-02 12:01:40.926839607,265.700000000,1,A
2026-03-02 12:01:40.926839607,265.700000000,4,A
2026-03-02 12:01:40.926839607,265.700000000,4,A
2026-03-02 12:01:41.625788065,265.690000000,1,A
2026-03-02 12:01:42.827792230,265.670000000,46,A
2026-03-02 12:01:42.827812284,265.670000000,1,A
2026-03-02 12:01:42.827820712,265.670000000,53,A
2026-03-02 12:01:42.827820712,265.670000000,1,A
2026-03-02 12:01:42.827820712,265.670000000,20,A
2026-03-02 12:01:42.827820712,265.670000000,99,A
2026-03-02 12:01:42.829247619,265.665000000,50,A
2026-03-02 12:01:43.032614290,265.660000000,100,A
2026-03-02 12:01:43.032614290,265.665000000,9,B
2026-03-02 12:01:43.050261964,265.650000000,20,A
2026-03-02 12:01:45.267788153,265.640000000,5,A
2026-03-02 12:01:45.267788153,265.640000000,15,A
2026-03-02 12:01:45.267788153,265.640000000,40,A
2026-03-02 12:01:45.267811938,265.640000000,60,A
2026-03-02 12:01:45.267811938,265.640000000,20,A
2026-03-02 12:01:45.267811938,265.640000000,100,A
2026-03-02 12:01:45.267886255,265.640000000,10,B
2026-03-02 12:01:45.273998667,265.630000000,50,A
2026-03-02 12:01:45.273998667,265.630000000,50,A
2026-03-02 12:01:45.697826687,265.640000000,20,B
2026-03-02 12:01:45.697826687,265.640000000,2,B
2026-03-02 12:01:45.697847712,265.640000000,2,B
2026-03-02 12:01:46.201735937,265.640000000,20,A
2026-03-02 12:01:46.201735937,265.640000000,37,A
2026-03-02 12:01:46.225316261,265.630000000,100,A
2026-03-02 12:01:46.225316261,265.620000000,100,A
2026-03-02 12:01:46.225316261,265.620000000,100,A
2026-03-02 12:01:46.225316261,265.620000000,10,A
2026-03-02 12:01:46.229030180,265.625000000,100,B
2026-03-02 12:01:46.499947529,265.630000000,20,B
2026-03-02 12:01:46.932704014,265.625000000,51,A
2026-03-02 12:01:48.238195352,265.640000000,1,B
2026-03-02 12:01:48.731975546,265.640000000,10,B
2026-03-02 12:01:48.745164494,265.650000000,10,B
2026-03-02 12:01:48.756877788,265.660000000,10,B
2026-03-02 12:01:48.756877788,265.660000000,25,B
2026-03-02 12:01:48.756877788,265.660000000,7,B
2026-03-02 12:01:48.756899764,265.660000000,1,B
2026-03-02 12:01:48.802774518,265.650000000,43,A
2026-03-02 12:01:48.802774518,265.650000000,25,A
2026-03-02 12:01:48.802774518,265.640000000,25,A
2026-03-02 12:01:48.802774518,265.640000000,7,A
2026-03-02 12:01:53.867827739,265.630000000,100,A
2026-03-02 12:01:53.867827739,265.630000000,100,A
2026-03-02 12:01:53.867827739,265.620000000,4,A
2026-03-02 12:01:53.867827739,265.620000000,104,A
2026-03-02 12:01:53.867827739,265.620000000,60,A
2026-03-02 12:01:53.867853227,265.620000000,1,A
2026-03-02 12:01:54.233326784,265.620000000,20,A
2026-03-02 12:01:54.233348535,265.620000000,19,A
2026-03-02 12:01:54.233348535,265.620000000,1,A
2026-03-02 12:01:54.233348535,265.620000000,10,A
2026-03-02 12:01:54.233774840,265.610000000,100,A
2026-03-02 12:01:54.233774840,265.610000000,5,A
2026-03-02 12:01:54.233774840,265.610000000,1,A
2026-03-02 12:01:54.234279176,265.600000000,1,A
2026-03-02 12:01:54.234279176,265.600000000,9,A
2026-03-02 12:01:54.234279176,265.600000000,20,A
2026-03-02 12:01:54.234279176,265.600000000,1,A
2026-03-02 12:01:54.234280259,265.600000000,31,A
2026-03-02 12:01:54.263833530,265.600000000,20,A
2026-03-02 12:01:54.264085978,265.600000000,49,A
2026-03-02 12:01:55.810768172,265.620000000,100,B
2026-03-02 12:01:55.810843545,265.620000000,40,B
2026-03-02 12:01:56.133437485,265.620000000,50,B
