method,variant,stock,train_seed,day,episode_id,final_value,min_value,max_drawdown,max_abs_inventory,mean_abs_inventory,fills,abs_volume,closing_abs_volume,touched_inventory_cap
profit_ppo,profit_ppo,000001,4,2019-11-21,0,3.9999999999995453,0.0,0.0,100.0,0.8713480266529985,4,400.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-21,1,2.0,0.0,0.0,100.0,0.051255766273705795,2,200.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-22,0,0.0,-3.0000000000002274,6.499999999999773,100.0,6.970784213223988,2,200.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-22,1,9.999999999999545,0.0,0.9999999999997726,100.0,1.94771911840082,10,1000.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-25,0,4.000000000000455,0.0,1.0000000000002274,100.0,4.202972834443875,6,600.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-25,1,2.0,0.0,0.0,100.0,0.25627883136852897,2,200.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-26,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-26,1,4.0,0.0,1.0000000000002274,100.0,1.6401845207585855,4,400.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-27,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-27,1,3.9999999999997726,0.0,1.5000000000002274,100.0,1.8452075858534085,4,400.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-28,0,2.9999999999997726,0.0,2.5000000000002274,100.0,3.485392106611994,6,600.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-28,1,0.0,-1.5,1.5,100.0,0.4613018964633521,2,200.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-29,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
profit_ppo,profit_ppo,000001,4,2019-11-29,1,2.0000000000004547,0.0,0.4999999999997726,100.0,0.15376729882111737,2,200.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-15,0,154.99999999996726,0.0,24.000000000009095,200.0,60.943106099436186,82,8200.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-15,1,252.99999999999454,0.0,24.000000000007276,400.0,60.1742696053306,120,12000.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-18,0,124.00000000000182,-28.0,31.49999999999818,200.0,58.175294720656076,74,7400.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-18,1,186.99999999999454,0.0,11.0,200.0,46.43772424397745,74,7400.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-19,0,160.99999999999272,-0.999999999998181,33.49999999999636,400.0,84.46950281906715,66,6600.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-19,1,211.99999999999818,0.0,7.499999999998181,200.0,48.6929779600205,84,8400.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-20,0,151.00000000000182,0.0,81.0000000000091,300.0,74.98718605843158,100,10000.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-20,1,255.99999999999636,0.0,28.499999999996362,200.0,50.743208610968736,112,11200.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-21,0,183.00000000001273,-0.999999999998181,37.49999999999636,300.0,55.09994874423373,90,9000.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-21,1,146.9999999999891,-0.5,19.0,200.0,33.26499231163506,68,6800.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-22,0,286.99999999998,0.0,10.000000000003638,200.0,51.76832393644285,106,10600.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-22,1,179.9999999999909,0.0,10.5,200.0,45.976422347514095,72,7200.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-25,0,289.99999999996544,-5.0,10.0,200.0,55.92004100461302,98,9800.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-25,1,204.00000000001273,0.0,6.000000000007276,200.0,48.744233726294205,80,8000.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-26,0,167.99999999998727,0.0,7.0,200.0,43.56740133264992,68,6800.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-26,1,94.00000000000728,0.0,106.99999999998909,300.0,72.32188621219888,86,8800.0,300.0,false
profit_ppo,profit_ppo,000858,3,2019-11-27,0,167.0,-5.0,44.50000000000364,300.0,60.225525371604306,108,10800.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-27,1,154.0000000000109,-3.000000000001819,30.00000000000182,300.0,54.68990261404408,86,8600.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-28,0,198.99999999997635,0.0,28.50000000000182,300.0,59.04664274730907,80,8000.0,100.0,false
profit_ppo,profit_ppo,000858,3,2019-11-28,1,177.99999999996908,-6.000000000003638,16.00000000000182,100.0,48.84674525884162,80,8000.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-29,0,202.00000000001273,0.0,12.5,200.0,37.57047667862634,74,7400.0,0.0,false
profit_ppo,profit_ppo,000858,3,2019-11-29,1,165.99999999999272,0.0,27.999999999996362,200.0,56.791389031266014,86,8600.0,0.0,false
profit_ppo,profit_ppo,000858,4,2019-11-15,0,148.99999999996726,-12.000000000007276,64.00000000000364,500.0,106.50948231676064,110,11000.0,100.0,false
profit_ppo,profit_ppo,000858,4,2019-11-15,1,246.9999999999891,0.0,27.500000000003638,400.0,74.83341875961045,146,14600.0,0.0,false
profit_ppo,profit_ppo,000858,4,2019-11-18,0,129.99999999999636,-33.0,36.49999999999818,300.0,77.24243977447463,104,10400.0,100.0,false
profit_ppo,profit_ppo,000858,4,2019-11-18,1,213.00000000000546,0.0,12.999999999998181,300.0,82.2655048692978,104,10400.0,0.0,false
profit_ppo,profit_ppo,000858,4,2019-11-19,0,148.99999999999454,-0.999999999998181,46.00000000001455,600.0,141.31214761660686,88,8800.0,100.0,false
profit_ppo,profit_ppo,000858,4,2019-11-19,1,236.99999999998545,0.0,8.500000000003638,200.0,70.52793439261917,114,11400.0,100.0,false
profit_ppo,profit_ppo,000858,4,2019-11-20,0,126.00000000000546,0.0,101.99999999999818,300.0,97.385955920041,124,12400.0,100.0,false
profit_ppo,profit_ppo,000858,4,2019-11-20,1,226.99999999999818,0.0,31.0,200.0,69.55407483341875,140,14000.0,0.0,false
profit_ppo,profit_ppo,000858,4,2019-11-21,0,213.00000000000728,-1.000000000001819,20.0,200.0,66.47872885699641,122,12200.0,100.0,false
profit_ppo,profit_ppo,000858,4,2019-11-21,1,173.0000000000109,-2.000000000003638,19.49999999999818,300.0,71.96309584828293,102,10200.0,0.0,false
profit_ppo,profit_ppo,000858,4,2019-11-22,0,255.9999999999909,0.0,23.000000000005457,200.0,72.98821117375705,136,13600.0,100.0,false
profit_ppo,profit_ppo,000858,4,2019-11-22,1,201.99999999999272,0.0,10.5,200.0,64.22347514095335,100,10000.0,100.0,false
profit_ppo,profit_ppo,000858,4,2019-11-25,0,285.0,0.999999999998181,32.49999999999636,300.0,82.21424910302409,126,12600.0,100.0,false
